date,name,product,amount
2019-05-08,서천군수산업협동조합,멸치,70949
2019-05-09,서천군수산업협동조합,멸치,70945
2019-05-10,서천군수산업협동조합,멸치,70097
2019-05-11,서천군수산업협동조합,멸치,70097
2019-05-12,서천군수산업협동조합,멸치,70097
2019-05-13,서천군수산업협동조합,멸치,69398
2019-05-14,서천군수산업협동조합,멸치,67190
2019-05-15,서천군수산업협동조합,멸치,67156
2019-05-16,서천군수산업협동조합,멸치,65902
2019-05-17,서천군수산업협동조합,멸치,65902
2019-05-18,서천군수산업협동조합,멸치,65722
2019-05-19,서천군수산업협동조합,멸치,65722
2019-05-20,서천군수산업협동조합,멸치,62959
2019-05-21,서천군수산업협동조합,멸치,62929
2019-05-22,서천군수산업협동조합,멸치,62761
2019-05-23,서천군수산업협동조합,멸치,62671
2019-05-24,서천군수산업협동조합,멸치,62671
2019-05-25,서천군수산업협동조합,멸치,62671
2019-05-26,서천군수산업협동조합,멸치,62671
2019-05-27,서천군수산업협동조합,멸치,62659
2019-05-28,서천군수산업협동조합,멸치,61339
2019-05-29,서천군수산업협동조합,멸치,61339
2019-05-30,서천군수산업협동조합,멸치,60985
2019-05-31,서천군수산업협동조합,멸치,60985
2019-06-01,서천군수산업협동조합,멸치,60925
2019-06-02,서천군수산업협동조합,멸치,60925
2019-06-03,서천군수산업협동조합,멸치,60791
2019-06-04,서천군수산업협동조합,멸치,60791
2019-06-05,서천군수산업협동조합,멸치,60472
2019-06-06,서천군수산업협동조합,멸치,60472
2019-06-07,서천군수산업협동조합,멸치,60324
2019-06-08,서천군수산업협동조합,멸치,60324
2019-06-09,서천군수산업협동조합,멸치,60324
2019-06-10,서천군수산업협동조합,멸치,56438
2019-06-11,서천군수산업협동조합,멸치,55888
2019-06-12,서천군수산업협동조합,멸치,55888
2019-06-13,서천군수산업협동조합,멸치,55888
2019-06-14,서천군수산업협동조합,멸치,55846
2019-06-15,서천군수산업협동조합,멸치,55846
2019-06-16,서천군수산업협동조합,멸치,55846
2019-06-17,서천군수산업협동조합,멸치,54266
2019-06-18,서천군수산업협동조합,멸치,54266
2019-06-19,서천군수산업협동조합,멸치,53915
2019-06-20,서천군수산업협동조합,멸치,53915
2019-06-21,서천군수산업협동조합,멸치,53427
2019-06-22,서천군수산업협동조합,멸치,53427
2019-06-23,서천군수산업협동조합,멸치,53427
2019-06-24,서천군수산업협동조합,멸치,53027
2019-06-25,서천군수산업협동조합,멸치,53027
2019-06-26,서천군수산업협동조합,멸치,50899
2019-06-27,서천군수산업협동조합,멸치,49787
2019-06-28,서천군수산업협동조합,멸치,49787
2019-06-29,서천군수산업협동조합,멸치,49861
2019-06-30,서천군수산업협동조합,멸치,49861
2019-07-01,서천군수산업협동조합,멸치,50298
2019-07-02,서천군수산업협동조합,멸치,50375
2019-07-03,서천군수산업협동조합,멸치,48493
2019-07-04,서천군수산업협동조합,멸치,48493
2019-07-05,서천군수산업협동조합,멸치,48249
2019-07-06,서천군수산업협동조합,멸치,47821
2019-07-07,서천군수산업협동조합,멸치,47821
2019-07-08,서천군수산업협동조합,멸치,48226
2019-07-09,서천군수산업협동조합,멸치,47072
2019-07-10,서천군수산업협동조합,멸치,50032
2019-07-11,서천군수산업협동조합,멸치,50032
2019-07-12,서천군수산업협동조합,멸치,55963
2019-07-13,서천군수산업협동조합,멸치,60161
2019-07-14,서천군수산업협동조합,멸치,60161
2019-07-15,서천군수산업협동조합,멸치,63089
2019-07-16,서천군수산업협동조합,멸치,63089
2019-07-17,서천군수산업협동조합,멸치,63089
2019-07-18,서천군수산업협동조합,멸치,62999
2019-07-19,서천군수산업협동조합,멸치,62817
2019-07-20,서천군수산업협동조합,멸치,62817
2019-07-21,서천군수산업협동조합,멸치,62817
2019-07-22,서천군수산업협동조합,멸치,60421
2019-07-23,서천군수산업협동조합,멸치,60421
2019-07-24,서천군수산업협동조합,멸치,60088
2019-07-25,서천군수산업협동조합,멸치,60088
2019-07-26,서천군수산업협동조합,멸치,60086
2019-07-27,서천군수산업협동조합,멸치,60086
2019-07-28,서천군수산업협동조합,멸치,60086
2019-07-29,서천군수산업협동조합,멸치,59816
2019-07-30,서천군수산업협동조합,멸치,59816
2019-07-31,서천군수산업협동조합,멸치,59816
2019-08-01,서천군수산업협동조합,멸치,59984
2019-08-02,서천군수산업협동조합,멸치,61469
2019-08-03,서천군수산업협동조합,멸치,62335
2019-08-04,서천군수산업협동조합,멸치,62335
2019-08-05,서천군수산업협동조합,멸치,63064
2019-08-06,서천군수산업협동조합,멸치,61936
2019-08-07,서천군수산업협동조합,멸치,60875
2019-08-08,서천군수산업협동조합,멸치,60822
2019-08-09,서천군수산업협동조합,멸치,61011
2019-08-10,서천군수산업협동조합,멸치,62835
2019-08-11,서천군수산업협동조합,멸치,62835
2019-08-12,서천군수산업협동조합,멸치,60410
2019-08-13,서천군수산업협동조합,멸치,55680
2019-08-14,서천군수산업협동조합,멸치,54574
2019-08-15,서천군수산업협동조합,멸치,54574
2019-08-16,서천군수산업협동조합,멸치,63805
2019-08-17,서천군수산업협동조합,멸치,68651
2019-08-18,서천군수산업협동조합,멸치,68651
2019-08-19,서천군수산업협동조합,멸치,62088
2019-08-20,서천군수산업협동조합,멸치,63492
2019-08-21,서천군수산업협동조합,멸치,62747
2019-08-22,서천군수산업협동조합,멸치,61566
2019-08-23,서천군수산업협동조합,멸치,72069
2019-08-24,서천군수산업협동조합,멸치,74440
2019-08-25,서천군수산업협동조합,멸치,74440
2019-08-26,서천군수산업협동조합,멸치,73664
2019-08-27,서천군수산업협동조합,멸치,68955
2019-08-28,서천군수산업협동조합,멸치,66415
2019-08-29,서천군수산업협동조합,멸치,64547
2019-08-30,서천군수산업협동조합,멸치,64707
2019-08-31,서천군수산업협동조합,멸치,67057
2019-09-01,서천군수산업협동조합,멸치,67057
2019-09-02,서천군수산업협동조합,멸치,72082
2019-09-03,서천군수산업협동조합,멸치,76571
2019-09-04,서천군수산업협동조합,멸치,79295
2019-09-05,서천군수산업협동조합,멸치,78727
2019-09-06,서천군수산업협동조합,멸치,78881
2019-09-07,서천군수산업협동조합,멸치,77971
2019-09-08,서천군수산업협동조합,멸치,77971
2019-09-09,서천군수산업협동조합,멸치,77699
2019-09-10,서천군수산업협동조합,멸치,76960
2019-09-11,서천군수산업협동조합,멸치,77227
2019-09-12,서천군수산업협동조합,멸치,77227
2019-09-13,서천군수산업협동조합,멸치,77227
2019-09-14,서천군수산업협동조합,멸치,77227
2019-09-15,서천군수산업협동조합,멸치,77227
2019-09-16,서천군수산업협동조합,멸치,78305
2019-09-17,서천군수산업협동조합,멸치,80058
2019-09-18,서천군수산업협동조합,멸치,83139
2019-09-19,서천군수산업협동조합,멸치,80732
2019-09-20,서천군수산업협동조합,멸치,83553
2019-09-21,서천군수산업협동조합,멸치,87228
2019-09-22,서천군수산업협동조합,멸치,87228
2019-09-23,서천군수산업협동조합,멸치,90380
2019-09-24,서천군수산업협동조합,멸치,89881
2019-09-25,서천군수산업협동조합,멸치,91028
2019-09-26,서천군수산업협동조합,멸치,91383
2019-09-27,서천군수산업협동조합,멸치,92365
2019-09-28,서천군수산업협동조합,멸치,96215
2019-09-29,서천군수산업협동조합,멸치,96215
2019-09-30,서천군수산업협동조합,멸치,97223
2019-10-01,서천군수산업협동조합,멸치,98133
